,movieId,avg(rating),count,title,genres
0,1939,4.636363636363637,11,"Best Years of Our Lives, The (1946)",Drama|War
1,3469,4.541666666666667,12,Inherit the Wind (1960),Drama
2,858,4.4875,200,"Godfather, The (1972)",Crime|Drama
3,318,4.487138263665595,311,"Shawshank Redemption, The (1994)",Crime|Drama
4,1948,4.458333333333333,12,Tom Jones (1963),Adventure|Comedy|Romance
5,8132,4.454545454545454,11,Gladiator (1992),Action|Drama
6,1945,4.448275862068965,29,On the Waterfront (1954),Crime|Drama
7,1147,4.4375,16,When We Were Kings (1996),Documentary
8,926,4.434210526315789,38,All About Eve (1950),Drama
9,1217,4.423076923076923,26,Ran (1985),Drama|War
10,969,4.42,50,"African Queen, The (1951)",Adventure|Comedy|Romance|War
11,3035,4.411764705882353,17,Mister Roberts (1955),Comedy|Drama|War
12,1066,4.409090909090909,11,Shall We Dance (1937),Comedy|Musical|Romance
13,2064,4.392857142857143,42,Roger & Me (1989),Documentary
14,913,4.387096774193548,62,"Maltese Falcon, The (1941)",Film-Noir|Mystery
15,7502,4.386363636363637,22,Band of Brothers (2001),Action|Drama|War
16,1221,4.385185185185185,135,"Godfather: Part II, The (1974)",Crime|Drama
17,905,4.38,25,It Happened One Night (1934),Comedy|Romance
18,50,4.370646766169155,201,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
19,1178,4.366666666666666,15,Paths of Glory (1957),Drama|War
20,2202,4.363636363636363,11,Lifeboat (1944),Drama|War
21,104913,4.363636363636363,11,Rush (2013),Action|Drama
22,3462,4.359375,32,Modern Times (1936),Comedy|Drama|Romance
23,898,4.351351351351352,37,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
24,1228,4.35,50,Raging Bull (1980),Drama
25,1252,4.3355263157894735,76,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
26,2318,4.326086956521739,23,Happiness (1998),Comedy|Drama
27,2357,4.318181818181818,11,Central Station (Central do Brasil) (1998),Drama
28,904,4.315217391304348,92,Rear Window (1954),Mystery|Thriller
29,3730,4.304347826086956,23,"Conversation, The (1974)",Drama|Mystery
30,1203,4.304054054054054,74,12 Angry Men (1957),Drama
31,527,4.30327868852459,244,Schindler's List (1993),Drama|War
32,1254,4.3,30,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western
33,6016,4.297101449275362,69,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
34,922,4.294871794871795,39,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
35,1305,4.291666666666667,12,"Paris, Texas (1984)",Drama|Romance
36,194,4.291666666666667,24,Smoke (1995),Comedy|Drama
37,3683,4.291666666666667,24,Blood Simple (1984),Crime|Drama|Film-Noir
38,1927,4.285714285714286,14,All Quiet on the Western Front (1930),Action|Drama|War
39,1264,4.285714285714286,14,Diva (1981),Action|Drama|Mystery|Romance|Thriller
40,1237,4.28125,16,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
41,2019,4.277777777777778,54,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
42,1276,4.271739130434782,46,Cool Hand Luke (1967),Drama
43,1299,4.271428571428571,35,"Killing Fields, The (1984)",Drama|War
44,908,4.2701149425287355,87,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
45,233,4.269230769230769,13,Exotica (1994),Drama
46,3088,4.2631578947368425,19,Harvey (1950),Comedy|Fantasy
47,1260,4.261904761904762,21,M (1931),Crime|Film-Noir|Thriller
48,1172,4.260869565217392,46,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
49,2186,4.260869565217392,23,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller
50,1193,4.256944444444445,144,One Flew Over the Cuckoo's Nest (1975),Drama
51,608,4.256696428571429,224,Fargo (1996),Comedy|Crime|Drama|Thriller
52,296,4.256172839506172,324,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
53,1219,4.253246753246753,77,Psycho (1960),Crime|Horror
54,2917,4.25,22,Body Heat (1981),Crime|Thriller
55,3983,4.25,16,You Can Count on Me (2000),Drama|Romance
56,2690,4.25,20,"Ideal Husband, An (1999)",Comedy|Romance
57,994,4.25,22,Big Night (1996),Comedy|Drama
58,3022,4.25,14,"General, The (1926)",Comedy|War
59,1212,4.25,38,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
60,2467,4.239130434782608,23,"Name of the Rose, The (Name der Rose, Der) (1986)",Crime|Drama|Mystery|Thriller
61,1248,4.2368421052631575,19,Touch of Evil (1958),Crime|Film-Noir|Thriller
62,2858,4.236363636363636,220,American Beauty (1999),Drama|Romance
63,58559,4.235537190082645,121,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
64,581,4.235294117647059,17,"Celluloid Closet, The (1995)",Documentary
65,912,4.235042735042735,117,Casablanca (1942),Drama|Romance
66,1196,4.232905982905983,234,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
67,5971,4.230769230769231,26,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy
68,4226,4.2272727272727275,132,Memento (2000),Mystery|Thriller
69,3071,4.2272727272727275,11,Stand and Deliver (1988),Comedy|Drama
70,1060,4.226190476190476,42,Swingers (1996),Comedy|Drama
71,954,4.225806451612903,31,Mr. Smith Goes to Washington (1939),Drama
72,903,4.22463768115942,69,Vertigo (1958),Drama|Mystery|Romance|Thriller
73,111,4.22457627118644,118,Taxi Driver (1976),Crime|Drama|Thriller
74,1136,4.224137931034483,145,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
75,260,4.221649484536083,291,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
76,88125,4.220588235294118,34,Harry Potter and the Deathly Hallows: Part 2 (2011),Action|Adventure|Drama|Fantasy|Mystery|IMAX
77,1209,4.21875,16,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
78,1204,4.215686274509804,51,Lawrence of Arabia (1962),Adventure|Drama|War
79,1218,4.214285714285714,14,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller
80,2300,4.212121212121212,33,"Producers, The (1968)",Comedy
81,951,4.211538461538462,26,His Girl Friday (1940),Comedy|Romance
82,1211,4.2105263157894735,19,"Wings of Desire (Himmel über Berlin, Der) (1987)",Drama|Fantasy|Romance
83,475,4.209677419354839,31,In the Name of the Father (1993),Drama
84,750,4.20952380952381,105,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
85,1197,4.208588957055214,163,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
86,232,4.208333333333333,24,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
87,3134,4.208333333333333,12,Grand Illusion (La grande illusion) (1937),Drama|War
88,1946,4.208333333333333,12,Marty (1955),Drama|Romance
89,950,4.205882352941177,17,"Thin Man, The (1934)",Comedy|Crime
90,2289,4.204545454545454,44,"Player, The (1992)",Comedy|Crime|Drama
91,31658,4.203703703703703,27,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure|Animation|Fantasy|Romance
92,48516,4.2023809523809526,84,"Departed, The (2006)",Crime|Drama|Thriller
93,1213,4.202290076335878,131,Goodfellas (1990),Crime|Drama
94,534,4.2,25,Shadowlands (1993),Drama|Romance
95,3083,4.2,20,All About My Mother (Todo sobre mi madre) (1999),Drama
96,2692,4.2,80,Run Lola Run (Lola rennt) (1998),Action|Crime
97,923,4.2,85,Citizen Kane (1941),Drama|Mystery
98,2132,4.195652173913044,23,Who's Afraid of Virginia Woolf? (1966),Drama
99,1719,4.195652173913044,23,"Sweet Hereafter, The (1997)",Drama
100,899,4.1953125,64,Singin' in the Rain (1952),Comedy|Musical|Romance
101,745,4.193548387096774,62,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
102,1198,4.193181818181818,220,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
